@RELATION RSSI_X

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE x NUMERIC

@DATA
28,28,32,48,46329
34,16,37,47,46329
28,33,37,42,46329
27,29,39,47,50317
33,25,30,54,50317
35,30,35,48,50317
32,23,31,45,50317
31,34,38,44,50317
31,26,29,49,50317
29,33,39,48,50317
33,34,32,43,50317
37,25,40,51,50317
31,33,39,44,50317
32,31,38,51,50317
32,26,36,51,50317
35,30,31,43,50317
31,31,35,52,50317
32,34,33,56,50317
33,26,35,51,50317
34,26,35,48,50317
29,30,33,45,50317
36,30,40,52,50317
34,29,34,44,50317
30,26,40,44,50317
34,33,38,49,50317
33,24,29,53,50317
32,26,40,53,50317
32,9,35,50,50317
30,29,39,50,50317
34,27,38,48,50317
35,26,40,49,50317
34,26,33,52,50317
32,30,36,49,50317
36,33,33,49,50317
32,32,38,44,50317
30,31,37,49,50317
33,32,39,49,50317
34,28,32,48,50317
32,27,35,48,50317
34,33,34,46,50317
37,23,33,44,50317
33,27,35,51,50317
30,26,34,51,50317
33,27,32,57,50317
31,32,30,51,50317
33,32,32,50,50317
32,34,36,42,50317
35,33,36,49,50317
32,28,35,52,50317
34,23,35,53,50317
33,29,33,47,50317
37,33,40,49,50317
29,25,35,50,50317
34,28,29,41,50317
29,33,34,54,50317
30,29,35,42,50317
30,33,30,43,50317
31,25,31,52,50317
33,33,35,53,50317
32,28,33,39,50317
32,31,39,51,50317
31,28,32,50,50317
35,32,40,56,50317
30,31,33,41,50317
33,26,39,48,50317
33,33,39,50,50317
30,25,31,45,50317
35,26,33,45,50317
32,33,38,44,50317
31,36,31,42,54279
31,35,30,47,54279
26,35,34,40,54279
30,28,38,43,54279
28,33,30,46,54279
19,33,30,48,54279
27,36,34,45,54279
31,35,34,43,54279
22,29,30,44,54279
30,29,34,44,54279
28,35,32,40,54279
31,23,29,45,54279
29,32,38,43,54279
30,26,30,38,54279
31,35,37,44,54279
31,32,38,42,54279
32,25,37,44,54279
31,34,31,44,54279
17,25,38,45,54279
20,22,31,45,54279
31,36,35,47,54279
19,31,37,41,54279
29,26,37,38,54279
19,25,38,44,54279
17,36,36,46,54279
29,24,37,44,54279
18,24,35,48,54279
30,31,37,43,54279
20,34,37,39,54279
31,8,40,44,54279
28,27,37,44,54279
20,29,35,45,54279
30,35,31,44,54279
36,25,31,42,54279
31,36,30,43,54279
30,25,31,43,54279
18,28,30,48,54279
31,25,37,46,54279
32,35,37,46,54279
30,31,38,48,54279
31,35,38,44,54279
22,34,36,39,54279
27,32,35,44,54279
23,27,36,38,54279
22,25,38,43,54279
31,26,37,38,54279
28,24,38,40,54279
33,29,34,47,54279
21,25,35,44,54279
29,35,31,45,54279
21,24,35,44,54279
32,26,29,37,54279
22,32,36,44,54279
33,35,35,44,54279
24,32,37,46,54279
22,26,31,36,54279
31,35,36,38,54279
20,25,36,44,54279
23,33,31,42,54279
31,25,37,43,54279
28,35,30,47,54279
31,32,38,45,54279
29,34,37,39,54279
29,25,38,42,54279
21,31,37,38,54279
30,36,31,42,54279
30,34,33,51,58293
29,28,33,49,58293
23,30,35,44,58293
27,33,32,45,58293
31,27,25,51,58293
30,26,25,44,58293
22,26,25,46,58293
22,26,35,45,58293
19,32,26,32,58293
22,25,25,48,58293
21,33,25,45,58293
32,32,35,42,58293
31,27,36,42,58293
35,33,25,37,58293
23,33,36,31,58293
29,35,36,46,58293
24,35,24,46,58293
33,42,32,46,58293
22,32,32,40,58293
29,35,31,48,58293
30,25,32,38,58293
29,26,25,45,58293
22,34,36,36,58293
19,35,25,41,58293
27,36,36,47,58293
28,26,31,37,58293
29,29,32,46,58293
27,27,31,38,58293
33,26,32,48,58293
32,33,25,44,58293
31,35,31,40,58293
21,35,33,46,58293
29,32,27,44,58293
23,26,36,38,58293
23,31,25,50,58293
32,9,35,46,58293
28,34,33,38,58293
23,27,24,47,58293
