@RELATION RSSI

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE class        {pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15}

@DATA
37,25,31,42,pos8
36,26,30,31,pos8
24,23,31,41,pos8
38,23,43,42,pos8
24,17,41,40,pos8
35,24,41,40,pos8
38,17,44,35,pos8
35,16,30,40,pos8
34,25,32,38,pos8
32,16,44,39,pos8
38,18,42,31,pos8
35,26,45,45,pos8
35,21,44,47,pos9
31,20,34,39,pos9
28,24,43,40,pos9
34,26,35,42,pos9
29,22,35,48,pos9
26,26,37,38,pos9
31,27,43,37,pos9
32,25,36,47,pos9
34,21,35,40,pos9
33,26,44,46,pos9
31,22,44,37,pos9
36,22,44,39,pos9
34,22,37,42,pos9
35,27,34,48,pos9
37,25,36,41,pos9
31,21,35,39,pos9
34,27,34,40,pos9
24,26,36,45,pos9
34,26,44,39,pos9
33,27,37,40,pos9
24,26,36,43,pos9
37,23,35,46,pos9
34,26,35,41,pos9
33,23,44,45,pos9
31,27,44,6,pos9
27,22,37,48,pos9
25,25,36,41,pos9
24,22,44,41,pos9
25,22,35,44,pos9
23,21,44,40,pos9
24,28,39,47,pos9
25,27,36,49,pos9
33,26,44,39,pos9
35,26,38,41,pos9
33,26,36,39,pos9
25,27,37,39,pos9
23,26,37,42,pos9
25,26,34,49,pos9
33,27,45,46,pos9
35,26,45,42,pos9
25,20,36,41,pos9
26,26,37,47,pos9
34,22,43,40,pos9
35,26,36,40,pos9
34,26,44,47,pos9
25,26,44,40,pos9
24,25,36,47,pos9
36,27,45,11,pos9
24,26,38,40,pos9
24,25,37,39,pos9
36,26,33,42,pos9
33,22,38,47,pos9
34,26,44,42,pos9
35,26,35,41,pos9
36,20,36,40,pos9
32,25,38,40,pos9
35,22,37,41,pos9
28,21,36,42,pos9
29,27,34,46,pos9
35,22,45,40,pos9
34,27,36,48,pos9
37,26,43,39,pos9
22,25,35,39,pos9
32,26,37,41,pos9
35,26,39,36,pos9
23,23,44,44,pos9
23,22,38,40,pos9
29,28,38,49,pos10
31,25,30,48,pos10
37,26,40,53,pos10
28,24,40,47,pos10
30,26,39,40,pos10
35,28,42,51,pos10
33,27,30,42,pos10
38,24,37,52,pos10
35,28,40,41,pos10
32,31,41,53,pos10
30,23,38,51,pos10
34,25,31,47,pos10
30,25,41,41,pos10
36,26,40,50,pos10
29,27,32,55,pos10
32,22,38,52,pos10
29,25,30,50,pos10
34,24,39,55,pos10
35,26,37,52,pos10
31,30,41,49,pos10
29,26,39,46,pos10
36,27,38,41,pos10
37,24,31,47,pos10
29,28,39,50,pos10
35,25,32,48,pos10
30,27,41,44,pos10
37,27,29,46,pos10
29,27,38,47,pos10
35,23,41,47,pos10
37,28,32,41,pos10
31,27,38,39,pos10
31,24,30,48,pos10
29,27,32,49,pos10
35,27,38,43,pos10
35,27,41,42,pos10
29,26,24,51,pos10
30,29,39,47,pos10
29,25,33,49,pos10
30,29,42,50,pos10
38,25,33,49,pos10
34,26,40,49,pos10
35,25,41,48,pos10
36,24,41,51,pos10
30,28,42,42,pos10
31,23,39,48,pos10
35,26,39,50,pos10
36,27,40,42,pos10
27,26,31,51,pos10
37,25,37,52,pos10
31,27,31,50,pos10
36,29,38,53,pos10
30,28,38,51,pos10
36,29,38,46,pos10
34,24,32,49,pos10
31,27,31,49,pos10
33,26,37,47,pos10
32,25,41,48,pos10
34,21,39,47,pos10
30,27,37,49,pos10
31,26,39,42,pos10
32,27,38,41,pos10
32,34,32,35,pos11
33,33,31,54,pos11
33,29,40,51,pos11
31,29,39,43,pos11
28,34,39,43,pos11
29,34,39,54,pos11
30,18,31,47,pos11
30,34,39,48,pos11
35,17,40,38,pos11
33,34,39,47,pos11
32,33,31,42,pos11
32,26,39,55,pos11
29,34,38,41,pos11
31,19,39,43,pos11
34,17,37,51,pos11
34,18,30,55,pos11
32,18,38,41,pos11
34,27,37,41,pos11
27,26,30,55,pos11
33,17,31,47,pos11
28,17,31,55,pos11
31,18,38,59,pos11
27,30,28,45,pos11
35,16,39,43,pos11
32,16,40,45,pos11
35,27,40,55,pos11
35,34,31,48,pos11
33,34,30,47,pos11
30,29,31,39,pos11
33,35,38,54,pos11
34,28,41,48,pos11
33,35,38,41,pos11
29,18,39,54,pos11
25,16,31,48,pos11
34,17,31,44,pos11
27,32,30,51,pos11
27,29,30,55,pos11
29,25,31,55,pos11
28,33,38,53,pos11
33,18,39,47,pos11
28,27,38,39,pos11
27,35,30,48,pos11
36,27,30,43,pos11
31,17,39,44,pos11
29,19,39,47,pos11
35,16,40,38,pos11
36,16,30,55,pos11
29,34,35,42,pos11
34,26,38,43,pos11
28,16,32,46,pos11
28,16,39,47,pos11
35,26,39,49,pos11
28,28,32,48,pos11
34,16,37,47,pos11
28,33,37,42,pos11
27,29,39,47,pos12
33,25,30,54,pos12
35,30,35,48,pos12
32,23,31,45,pos12
31,34,38,44,pos12
31,26,29,49,pos12
29,33,39,48,pos12
33,34,32,43,pos12
37,25,40,51,pos12
31,33,39,44,pos12
32,31,38,51,pos12
32,26,36,51,pos12
35,30,31,43,pos12
31,31,35,52,pos12
32,34,33,56,pos12
33,26,35,51,pos12
34,26,35,48,pos12
29,30,33,45,pos12
36,30,40,52,pos12
34,29,34,44,pos12
30,26,40,44,pos12
34,33,38,49,pos12
33,24,29,53,pos12
32,26,40,53,pos12
32,9,35,50,pos12
30,29,39,50,pos12
34,27,38,48,pos12
35,26,40,49,pos12
34,26,33,52,pos12
32,30,36,49,pos12
36,33,33,49,pos12
32,32,38,44,pos12
30,31,37,49,pos12
33,32,39,49,pos12
34,28,32,48,pos12
32,27,35,48,pos12
34,33,34,46,pos12
37,23,33,44,pos12
33,27,35,51,pos12
30,26,34,51,pos12
33,27,32,57,pos12
31,32,30,51,pos12
33,32,32,50,pos12
32,34,36,42,pos12
35,33,36,49,pos12
32,28,35,52,pos12
34,23,35,53,pos12
33,29,33,47,pos12
37,33,40,49,pos12
29,25,35,50,pos12
34,28,29,41,pos12
29,33,34,54,pos12
30,29,35,42,pos12
30,33,30,43,pos12
31,25,31,52,pos12
33,33,35,53,pos12
32,28,33,39,pos12
32,31,39,51,pos12
31,28,32,50,pos12
35,32,40,56,pos12
30,31,33,41,pos12
33,26,39,48,pos12
33,33,39,50,pos12
30,25,31,45,pos12
